Student_ID,Gender,Department,Attendance,Study_Hours,Marks
S1168,Female,Electrical,79.5,4.5,69.5
S1169,Male,Computer Science,87.0,6.5,79.0
S1170,Female,Data Science,82.0,5.5,72.5
S1171,Male,Electrical,68.5,3.5,57.5
S1172,Female,Mechanical,83.0,6.0,73.5
S1173,Male,Computer Science,89.5,7.5,84.5
S1174,Female,Data Science,89.0,7.0,83.0
S1175,Male,Electrical,62.5,2.5,49.0
S1176,Female,Mechanical,76.0,4.5,67.0
S1177,Male,Computer Science,93.0,8.5,91.0
S1178,Female,Data Science,95.5,9.0,94.5
S1179,Male,Electrical,75.0,4.5,65.0
S1180,Female,Mechanical,67.0,3.0,55.5
S1181,Male,Data Science,87.5,6.5,82.0
S1182,Female,Computer Science,94.0,8.5,90.5
S1183,Male,Mechanical,53.0,1.5,41.0
S1184,Female,Electrical,81.5,5.0,72.0
S1185,Male,Computer Science,90.5,7.5,86.0
S1186,Female,Data Science,92.0,8.0,87.5
S1187,Male,Electrical,70.5,3.5,59.0
S1188,Female,Mechanical,85.0,6.5,77.0
S1189,Male,Computer Science,96.0,9.5,95.0
S1190,Female,Data Science,79.5,5.0,68.5
S1191,Male,Electrical,,3.0,53.5
S1192,Female,Mechanical,80.5,,71.0
S1193,Male,Computer Science,87.5,6.5,
S1194,Female,Data Science,93.5,8.0,89.0
S1195,Male,Electrical,71.0,-4.0,61.0
S1196,Female,Mechanical,69.0,3.5,-55.0
S1197,Male,Data Science,85.0,6.0,77.5
S1198,Female,Computer Science,96.5,9.0,96.0
S1199,Male,Mechanical,58.0,2.5,48.0
S1200,Female,Electrical,82.5,5.5,73.0
